server,client,model,task,runs,success_rate,success_rate_completed,step_limit_rate,vendor_unavailable_rate,client_error_rate,failure_rate,unsafe_write_rate,simulate_before_commit_rate,duplicate_document_rate,recovery_success_rate,avg_tool_calls,avg_input_tokens,avg_output_tokens,avg_wall_s,tb_integrity,outcomes
control,openai_agents_sdk,gpt-5.6-terra,gl_01_manual_je,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,10.667,43471.667,745.333,14.263,1.0,
control,openai_agents_sdk,gpt-5.6-terra,gl_02_reverse_je,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,10.0,22533.667,681.0,11.937,1.0,
control,openai_agents_sdk,gpt-5.6-terra,gl_03_closed_period,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,2794.333,98.0,3.003,1.0,
control,openai_agents_sdk,gpt-5.6-terra,o2c_01_simple,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,26.0,94339.333,1775.0,31.493,1.0,
control,openai_agents_sdk,gpt-5.6-terra,o2c_02_credit_limit,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,4.667,3075.667,201.0,3.933,1.0,
control,openai_agents_sdk,gpt-5.6-terra,o2c_03_partial_ship,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,22.333,49566.0,1576.0,22.157,1.0,
control,openai_agents_sdk,gpt-5.6-terra,o2c_04_credit_note,3,0.333,0.333,0.0,0.0,0.0,0.667,0.0,,0.0,,29.0,108806.333,2146.667,38.76,1.0,
control,openai_agents_sdk,gpt-5.6-terra,o2c_05_out_of_stock,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,5.667,10256.0,297.667,5.47,1.0,
control,openai_agents_sdk,gpt-5.6-terra,o2c_06_payment_reversal,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,20.0,39659.0,1097.333,16.69,1.0,
control,openai_agents_sdk,gpt-5.6-terra,p2p_01_simple,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,27.0,86980.667,2087.333,29.407,1.0,
control,openai_agents_sdk,gpt-5.6-terra,p2p_02_partial_receipt,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,32.0,104750.667,2244.333,36.143,1.0,
control,openai_agents_sdk,gpt-5.6-terra,p2p_04_over_threshold,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,6.333,13206.333,437.0,11.61,1.0,
control,openai_agents_sdk,gpt-5.6-terra,p2p_05_cancel,3,0.667,0.667,0.0,0.0,0.0,0.333,0.0,,0.0,,9.667,12864.667,565.667,10.68,1.0,
control,openai_agents_sdk,gpt-5.6-terra,p2p_06_price_variance_5pct,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,12.0,26985.667,927.333,14.257,1.0,
control,openai_agents_sdk,gpt-5.6-terra,p2p_07_variance_within_tolerance,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,22.667,48836.333,1686.333,26.23,1.0,
